molecule,drain_1_N_med,drain_1_N_mean,drain_1_Y_med,drain_1_Y_mean,drain_2_N_med,drain_2_N_mean,drain_2_Y_med,drain_2_Y_mean,drain_3_N_med,drain_3_N_mean,drain_3_Y_med,drain_3_Y_mean,N_med,N_mean,Y_med,Y_mean,drain_1_Y__drain_1_N__med_diff_log10,drain_1_Y__drain_1_N__med_diff_log2,drain_1_Y__drain_1_N__mean_diff_log10,drain_1_Y__drain_1_N__mean_diff_log2,drain_1_Y__drain_1_N__mean_diff_foldchange,drain_1_Y__drain_1_N__pval_wilcoxon,drain_1_Y__drain_1_N__auc,drain_2_Y__drain_2_N__med_diff_log10,drain_2_Y__drain_2_N__med_diff_log2,drain_2_Y__drain_2_N__mean_diff_log10,drain_2_Y__drain_2_N__mean_diff_log2,drain_2_Y__drain_2_N__mean_diff_foldchange,drain_2_Y__drain_2_N__pval_wilcoxon,drain_2_Y__drain_2_N__auc,drain_3_Y__drain_3_N__med_diff_log10,drain_3_Y__drain_3_N__med_diff_log2,drain_3_Y__drain_3_N__mean_diff_log10,drain_3_Y__drain_3_N__mean_diff_log2,drain_3_Y__drain_3_N__mean_diff_foldchange,drain_3_Y__drain_3_N__pval_wilcoxon,drain_3_Y__drain_3_N__auc,Y__N__med_diff_log10,Y__N__med_diff_log2,Y__N__mean_diff_log10,Y__N__mean_diff_log2,Y__N__mean_diff_foldchange,Y__N__pval_wilcoxon,Y__N__auc,drain_1_Y__drain_1_N__fdr_wilcoxon,drain_2_Y__drain_2_N__fdr_wilcoxon,drain_3_Y__drain_3_N__fdr_wilcoxon,Y__N__fdr_wilcoxon
AD1,3.8410783105412802,3.8028221272895806,4.028825854335025,4.069626116983406,3.251990767070565,3.461662113723135,4.30817213080494,4.386643093163137,3.20294911796033,3.3667057708833,4.72525406399633,4.70316334910801,3.20294911796033,3.568525557302794,5.054844467266506,5.126144852369097,0.18774754379374503,0.6236838404745371,0.266803989693825,0.8863036691919556,1.8484341761346708,0.613371641172098,0.546875,1.056181363734375,3.508558545485669,0.9249809794400021,3.0727203028381727,8.413582923252278,5.440720422619414e-4,0.826388888888889,1.5223049460359994,5.056987569222977,1.3364575782247101,4.439615976729789,21.69989229215949,0.002148257071336228,0.9444444444444444,1.8518953493061754,6.151863189651429,1.5576192950663033,5.174299297419401,36.10931875842316,1.6425849006664235e-11,0.9293478260869565,0.6276360979435421,0.0018414746045788786,0.004726165556939702,1.445474712586453e-10
pos_1685.23651_10.418,4.177747422268094,4.107290886519471,4.24450441502474,4.370118302162355,3.764623851025305,3.846837944763724,4.40835318045566,4.510217296287103,3.77194519663822,3.9366931508256875,4.53181580690794,4.724817229521799,3.62304649555101,3.9406764209176384,5.197188125429795,5.202483403139283,0.0667569927566456,0.22176192976849315,0.26282741564288425,0.8730937761307355,1.8315864232945338,0.3772735671226558,0.5825892857142857,0.643729329430355,2.1384225449376983,0.6633793515233792,2.203698505393673,4.606587783456365,0.0010692723590094938,0.8055555555555556,0.7598706102697204,2.5242355287341893,0.7881240786961112,2.6180915192778302,6.139373830991494,0.015220074043603454,0.8472222222222222,1.5741416298787851,5.22918530562612,1.2618069822216444,4.191632064567119,18.272879160628523,5.334584031355179e-13,0.9196859903381642,0.40487895008285013,0.003136532253094515,0.02160268573930813,2.3472169737962788e-11
pos_215.03473_5.386,4.019352781736146,4.159798459573631,4.24073162498627,4.399943209510459,3.996839436575435,4.040476308017436,4.51654682695621,4.521570903564915,3.986136241126125,4.139327844343861,4.66659525844131,4.737542926822693,4.013789646958729,4.1323723796028835,4.39460527149863,4.448737698681175,0.22137884325012447,0.735404599006254,0.2401447499368281,0.7977435916548494,1.738380132644398,0.011248730022247855,0.7299107142857143,0.5197073903807752,1.7264305812264913,0.4810945955474786,1.5981616532476417,3.0275728049314474,0.002615675541217165,0.7833333333333333,0.6804590173151852,2.2604359270387597,0.5982150824788315,1.987227489271791,3.9647433785692803,0.03595228301110654,0.8055555555555556,0.3808156245399008,1.2650421221311738,0.31636531907829113,1.0509428416941802,2.071883439298374,4.908244738615373e-4,0.7216183574879227,0.01649813736596352,0.00523135108243433,0.04652648389672612,0.0017996897374923033
pos_461.33469_13.882,4.816750026322589,4.846430465912497,5.173593064699865,5.169037350723483,4.657461432454305,4.683939125865192,5.22876749391947,5.165601745706801,4.694852904630064,4.7606084840974985,5.5542706555268,5.469992258709842,4.726380415600611,4.829027424004339,5.76019134045012,5.7610330252953235,0.35684303837727605,1.1854069146504425,0.32260688481098576,1.0716768742577047,2.101875000736972,0.021341044085281025,0.7098214285714286,0.5713060614651653,1.8978376563605788,0.4816626198416092,1.6000485891088927,3.0315352316007815,0.0016908067066998386,0.7944444444444444,0.8594177508967356,2.8549239719487747,0.7093837746123439,2.35652189094199,5.121341951615998,0.005512134923899629,0.8888888888888888,1.0338109248495098,3.434245556059074,0.9320056012909843,3.0960555915209103,8.550777411352268,3.254217584186452e-10,0.8768115942028986,0.02934393561726141,0.004133083060821828,0.008661926308985131,2.0455081957743414e-9
pos_143.11832_1.314,5.75325775288333,5.695719564069701,5.829040211025285,5.854842115025867,5.415994019130595,5.411306828346864,5.40448610622215,5.536230819408159,5.518921077263466,5.559741865795752,6.13685825471921,6.027954588408486,5.41975592404094,5.5475359700606814,6.93079459343897,6.926611674599095,0.07578245814195483,0.2517438768013853,0.159122550956166,0.5285936725514337,1.442522350831792,0.39055984680704653,0.5803571428571429,-0.011507912908445661,-0.03822845920408258,0.12492399106129515,0.4149885156319741,1.3332880635995614,0.6583497987135327,0.5444444444444444,0.6179371774557447,2.052742870665636,0.4682127226127335,1.5553689976309428,2.939088900220799,0.2358700123406006,0.6805555555555556,1.5110386693980296,5.019561808334531,1.3790757045384137,4.581190327882739,23.93732986337629,3.5261331843351297e-12,0.9082125603864735,0.40915793475023926,0.6583497987135327,0.25945701357466067,7.757493005537285e-11
pos_244.22611_1.022,5.192626282872119,5.3166420938802315,5.197086030104705,5.735385889689314,5.16309396004343,5.281358498060003,5.70900788112938,5.7487634165605,5.175225813543725,5.2607015564828314,5.51235583209108,5.9257966173232175,5.19279498342309,5.585976308877054,6.793942190151585,6.770046210330275,0.004459747232585798,0.014814959628022926,0.4187437958090827,1.3910367798579688,2.622670889570001,0.14802030185778842,0.6339285714285714,0.5459139210859503,1.8134867918455406,0.46740491850049715,1.5526855304553393,2.933627165133758,0.0032279083701889227,0.7777777777777778,0.3371300185473549,1.119921680242356,0.665095060840386,2.209397968376498,4.624822410581368,0.113944878650761,0.7361111111111112,1.6011472067284949,5.31889589008181,1.1840699014532206,3.933395071947964,15.278119459606552,3.254217584186452e-10,0.8768115942028986,0.17139192846691292,0.006175129056013592,0.13550201785495902,2.0455081957743414e-9
pos_333.13215_6.697,4.67893427899645,4.647022140894468,5.182678538488375,5.18837053182333,4.383299006943945,4.490820292504591,5.50512511424908,5.381879651886325,4.420310206983865,4.63172859383235,6.1347431459165,5.7457797009122995,3.96189258036245,4.283976282360404,5.39587559244934,5.351148132427323,0.503744259491925,1.6734022082444555,0.5413483909288619,1.7983204289486532,3.478150667221916,0.005141106650388936,0.7522321428571429,1.121826107305135,3.726625663435053,0.8910593593817344,2.9600351201425186,7.781429003647535,0.0018894564681593267,0.7916666666666666,1.7144329389326343,5.6952229466406274,1.1140511070799493,3.700797671749253,13.003225889123922,0.011106540518305223,0.861111111111111,1.4339830120868897,4.763588455442643,1.0671718500669183,3.5450681508102195,11.67271414289468,7.489585361286879e-12,0.9033816425120773,0.008661926308985131,0.004375583399947915,0.01649813736596352,9.03740479092273e-11
pos_218.12658_4.867,4.322009899559105,4.511737195107535,4.843913222595425,4.920029511876782,4.314921809839095,4.396767266867846,4.99037587383917,4.9981718764653404,4.317780043818544,4.362016734595377,5.53533750402113,5.338607735755985,4.345192310686685,4.583692053573554,5.42807959990715,5.571884538407999,0.5219033230363204,1.7337253116094273,0.4082923167692476,1.3563177180024142,2.560308610434773,0.024413036531511004,0.7053571428571429,0.6754540640000748,2.243809832007695,0.6014046095974948,1.9978228690166837,3.993968263496437,8.430252705797944e-4,0.8111111111111111,1.2175574602025856,4.04463833418667,0.9765910011606076,3.244165083969599,9.4752570626632,0.0015631427396133276,0.9305555555555556,1.0828872892204648,3.597273709657879,0.9881924848344452,3.282704378528097,9.73178453266706,1.1892045314671101e-8,0.8472222222222222,0.032550715375348004,0.0026495079932507826,0.004045781208410966,5.813888820505872e-8
pos_216.14734_4.603,4.41379197896171,4.713523224720506,5.08641786961039,5.187245937846902,4.39997598941558,4.551255526869814,5.15771132578089,5.35047961294968,4.3780346537225,4.491840929390112,5.692434164053,5.615574085340736,4.424745730435895,4.705405415620977,5.62507398157108,5.7375496503223955,0.6726258906486802,2.2344148434944855,0.4737227131263966,1.5736727899208431,2.9766153232923167,0.051707462327236914,0.6785714285714286,0.7577353363653101,2.5171423023608495,0.7992240860798665,2.6549649456593842,6.298310775489475,0.0015109668174477025,0.7972222222222223,1.3143995103305004,4.366340661273081,1.1237331559506236,3.732960741908818,13.296371964551911,0.0024681201151789383,0.9166666666666666,1.2003282511351854,3.987404140532986,1.032144234701419,3.428708931230659,10.76822780742732,3.3373394617277887e-7,0.8152173913043478,0.06500366692566927,0.004045781208410966,0.005171299288946347,1.4684293631602272e-6
pos_556.32152_5.537,3.9007666405054797,4.016125223120262,4.54460509038589,4.611395580706969,3.88464312336813,3.898861110494423,4.49192839079187,4.6899811592484495,3.89487770354979,3.939572272540956,4.96650605920077,5.1111641741186755,3.914457523607425,4.180697181819929,5.64659905888658,5.523831690239492,0.64383844988041,2.1387850352264626,0.5952703575867062,1.9774453249209258,3.937951450522342,0.0043540026902102544,0.7566964285714286,0.6072852674237397,2.0173579914661057,0.7911200487540264,2.62804391638466,6.181872573724426,0.003963376775961794,0.7722222222222223,1.0716283556509802,3.5598723419149376,1.1715919015777194,3.8919440535935355,14.84539992122041,3.2908268202385847e-4,0.9722222222222222,1.7321415352791552,5.754049630365155,1.3431345084195625,4.461796258731671,22.03608852677347,2.7219028795370827e-9,0.8599033816425121,0.007663044734770048,0.007266190755929955,0.0013163307280954339,1.4970465837453955e-8
pos_1077.58075_5.559,4.79328298935506,4.679340636693898,5.08167617183287,5.0046808957594084,4.172953994218125,4.299193524193334,4.27247119026616,4.483902683797485,3.97335738421277,4.171864610186852,5.57608114139401,5.212098913735691,4.5029135860174705,4.548299813976223,5.8279205285691305,5.778919848984223,0.2883931824778099,0.9580214152470143,0.3253402590655101,1.080756946987651,2.1151455554523544,0.09011581121922016,0.65625,0.09951719604803433,0.33058896947637884,0.18470915960415102,0.6135905466720631,1.53006245899548,0.20154276320845985,0.625,1.6027237571812396,5.324133077323791,1.0402343035488384,3.455583558224475,10.970699099626765,0.005512134923899629,0.8888888888888888,1.32500694255166,4.401577788383165,1.2306200350079992,4.088031268424342,17.006699382485287,8.215822537202481e-12,0.9027777777777778,0.11014154704571354,0.22738157900441625,0.008661926308985131,9.03740479092273e-11
