"","pseudoStatus","pos_504.32958_16.273"
"XBR001","drain_PA-",4.67165526373049
"XBR003","drain_PA-",4.65677509137503
"XBR005","drain_PA-",4.68534567177129
"XBR006","drain_PA-",4.70599357615389
"XBR007","drain_PA-",4.70765272584474
"XBR008","drain_PA-",4.71017132805494
"XBR009","drain_PA-",4.69967054935237
"XBR010","drain_PA-",4.71376007071524
"XBR012","drain_PA-",4.68834072042984
"XBR014","drain_PA-",4.67604145284228
"XBR015","drain_PA-",4.70276255369737
"XBR016","drain_PA-",4.67281471584175
"XBR019","drain_PA+",4.65989641460705
"XBR021","drain_PA-",4.70130113170216
"XBR023","drain_PA-",4.71586974212218
"XBR024","drain_PA-",4.72109985019306
"XBR025","drain_PA-",4.70466731903023
"XBR026","seroma_PA+",4.6563878796995
"XBR028","drain_PA+",6.09682484159364
"XBR032","drain_PA-",4.68604418617127
"XBR033","drain_PA-",4.69273520322384
"XBR045","drain_PA-",4.64360063663019
"XBR046","drain_PA-",4.64801782616981
"XBR050","drain_PA-",4.70571985474467
"XBR052","drain_PA-",4.69847385271508
"XBR053","drain_PA-",4.6979830509851
"XBR054","drain_PA-",4.67371958033843
"XBR056","drain_PA-",4.69321409443211
"XBR059","drain_PA-",4.68488424908986
"XBR061","seroma_PA-",4.70194573954806
"XBR063","seroma_PA-",4.7127022936086
"XBR065","drain_PA-",4.68419092405798
"XBR070","drain_PA-",4.68699912660919
"XBR072","drain_PA-",4.69491494045678
"XBR078","seroma_PA-",4.6694169377415
"XBR080","seroma_PA-",4.66428459953601
"XBR081","seroma_PA-",4.66946871034301
"XBR082","drain_PA-",4.66090891751182
"XBR083","seroma_PA-",4.7247328116697
"XBR084","seroma_PA-",4.69073978494201
"XBR086","drain_PA-",4.69304414610443
"XBR088","drain_PA-",4.68309240315402
"XBR089","seroma_PA-",4.68257159054133
"XBR090","seroma_PA-",4.71869925438937
"XBR091","drain_PA-",4.65932983842529
"XBR094","drain_PA-",4.67053624376133
"XBR099","drain_PA-",4.74515069298509
"XBR100","drain_PA-",4.70095604021213
"XBR311","drain_PA-",4.70962361706181
"XBR312","seroma_PA-",4.72388278620075
"XBR116","drain_PA+",4.68398751367505
"XBR117","drain_PA-",4.67524966725084
"XBR119","drain_PA-",4.58872074021943
"XBR120","seroma_PA-",4.6484862066236
"XBR121","drain_PA+",5.43574087519362
"XBR124","drain_PA-",4.65845464394608
"XBR126","drain_PA-",4.69825920845026
"XBR313","drain_PA+",6.25988637182291
"XBR127","drain_PA+",5.42265384367481
"XBR129","drain_PA-",4.66898223946281
"XBR131","drain_PA-",4.68696162140924
"XBR132","drain_PA-",4.675266315809
"XBR135","drain_PA+",4.65900580765464
"XBR136","drain_PA-",4.6495155277504
"XBR137","seroma_PA-",4.69297125980681
"XBR315","drain_PA+",5.64236811338099
"XBR141","seroma_PA-",4.65027494399439
"XBR143","drain_PA-",4.66112393298521
"XBR144","seroma_PA+",4.68056571994929
"XBR149","seroma_PA+",4.63903968345765
"XBR150","seroma_PA+",4.66433323183218
"XBR156","seroma_PA-",4.68948681980483
"XBR158","drain_PA-",4.66913608780986
"XBR159","drain_PA-",4.68130594198066
"XBR160","drain_PA-",4.67271197434281
"XBR161","drain_PA+",5.98309138581206
"XBR162","drain_PA+",6.25574266358442
"XBR163","drain_PA-",4.70663883322288
"XBR164","drain_PA-",4.64769332458325
"XBR165","drain_PA-",4.68289609422776
"XBR166","drain_PA-",4.67647608599134
"XBR167","drain_PA-",4.67800325852925
"XBR168","drain_PA-",4.69119978065972
"XBR169","drain_PA+",6.04667729414012
"XBR170","drain_PA+",5.86291908285232
"XBR171","drain_PA-",4.66771287291156
"XBR172","drain_PA-",4.67387339805914
"XBR173","drain_PA-",4.66542207272987
"XBR174","drain_PA-",4.69449675022154
"XBR175","seroma_PA-",4.68642219163001
"XBR176","drain_PA-",4.67842067482705
"XBR178","drain_PA-",4.67081611380839
"XBR179","drain_PA-",4.6840771573955
"XBR180","drain_PA-",4.66124275164537
"XBR181","drain_PA-",4.67065860735644
"XBR182","drain_PA-",4.67735109863143
"XBR183","drain_PA-",4.66379405178721
"XBR184","drain_PA-",4.67123741907749
"XBR185","drain_PA+",6.02204069286915
"XBR186","drain_PA+",5.91960475917095
"XBR187","drain_PA-",4.68137388874096
"XBR188","drain_PA-",4.67414931813235
"XBR194","drain_PA-",4.70377135811728
"XBR197","drain_PA-",4.68710580786477
"XBR198","drain_PA-",4.71650999576003
"XBR199","drain_PA-",4.65696313218463
"XBR200","drain_PA-",4.64919453994051
"XBR203","seroma_PA-",4.68481324348256
"XBR204","seroma_PA+",4.69602743912383
"XBR207","drain_PA-",4.71062238637049
"XBR218","seroma_PA-",4.67734034081933
"XBR219","seroma_PA-",4.6950467540897
"XBR221","seroma_PA-",4.70915170676286
"XBR222","seroma_PA-",4.75779691762485
"XBR225","drain_PA-",4.67441839853356
"XBR227","drain_PA-",4.71577458751608
"XBR228","drain_PA-",4.69597702388787
"XBR230","drain_PA-",4.67431245250326
"XBR231","drain_PA+",6.51867227294172
"XBR232","drain_PA+",4.71642347794488
"XBR233","seroma_PA-",4.69501755233678
"XBR234","drain_PA+",6.63564966316114
"XBR235","drain_PA+",6.02205119405641
"XBR236","seroma_PA+",4.69003756029397
"XBR237","seroma_PA+",4.69684112010884
"XBR238","seroma_PA-",4.78752424233267
"XBR239","seroma_PA-",4.69310164460499
"XBR240","seroma_PA-",4.6825059424071
"XBR241","seroma_PA-",4.71590257579253
"XBR245","drain_PA-",4.68571848397267
"XBR249","seroma_PA-",4.73339311175499
"XBR250","seroma_PA-",4.7025471585826
"XBR251","drain_PA-",4.72536874567784
"XBR257","drain_PA-",4.71940026968062
"XBR259","seroma_PA-",4.72785267202043
"XBR261","seroma_PA-",4.7263824995152
"XBR262","seroma_PA-",4.71332986851864
"XBR263","seroma_PA-",4.6934561077254
"XBR266","seroma_PA-",4.72799124804516
"XBR267","seroma_PA-",4.71493391756699
"XBR268","seroma_PA-",4.71356124081694
"XBR269","seroma_PA-",4.70201849726138
"XBR270","seroma_PA-",4.70253692676753
"XBR271","seroma_PA-",4.75218491321828
"XBR293","seroma_PA-",4.736043471533
"XBR294","seroma_PA-",4.70553465900175
"XBR295","seroma_PA-",4.71326442875522
"XBR296","seroma_PA-",4.72012344880704
"XBR273","seroma_PA-",4.69251821228921
"XBR274","seroma_PA-",4.69300565537744
"XBR275","seroma_PA-",4.70177224890853
"XBR276","seroma_PA-",4.71865692330761
"XBR297","seroma_PA-",4.72994785059494
"XBR298","seroma_PA-",4.70312282436346
"XBR299","seroma_PA-",4.68219701877001
"XBR277","seroma_PA-",4.75180337633482
"XBR300","seroma_PA-",4.73924411785066
"XBR301","seroma_PA-",4.71711428722475
"XBR278","seroma_PA-",4.70590594348811
"XBR302","seroma_PA-",4.90902675168669
"XBR303","seroma_PA-",4.83997806270651
"XBR304","seroma_PA-",4.72805252225854
"XBR279","seroma_PA-",4.69009849683398
"XBR280","seroma_PA-",4.68614730737212
"XBR281","seroma_PA-",4.70278668255262
"XBR282","seroma_PA+",4.69934200034033
"XBR283","seroma_PA-",4.71401137580772
"XBR305","seroma_PA-",4.74587393765602
"XBR284","seroma_PA-",4.72110925694778
"XBR285","seroma_PA-",4.71401460502052
"XBR286","seroma_PA+",4.66649048238539
"XBR287","seroma_PA-",4.69142490235517
"XBR306","seroma_PA-",4.72373205109804
"XBR288","seroma_PA-",4.73728356927994
"XBR307","seroma_PA-",4.72775185610491
"XBR289","seroma_PA-",4.75946049209076
"XBR308","seroma_PA-",4.70885617187531
"XBR290","seroma_PA-",4.70853349257331
"XBR291","seroma_PA-",4.73158152312487
"XBR292","seroma_PA-",4.71323609204128
"XBR272","seroma_PA-",4.70837999123739
"XBR316","seroma_PA-",4.6925114347574
